"Prefix meaning muscle","Myo",""
"45% of body weight; allows for movement by contracting and shortening","Muscles",""
"The ability to contract and cause movement","Contractility",""
"Muscle that is largely responsible for a desired action","Agonist/Prime Mover",""
"Muscle that opposes the Prime Mover/Agonist","Antagonist",""
"Partial muscle contraction,  does not cause movement","Tonic contraction",""
"Involuntary, visceral, non-striated muscle","Smooth Muscle",""
"Voluntary, striated muscle, creates movement by pulling on bone","Skeletal Muscle",""
"Striated, involuntary muscle found in the heart","Cardiac Muscle",""
"End of the muscle attached to the less movable or fixed bone","Origin",""
"End of the muscle attached to the more movable bone","Insertion",""
"Main fleshy portion of the muscle","Body or Belly of the Muscle",""
"Attaches muscle tissue to the periosteum of the bone through dense cords","Tendons",""
"Broad, flat tendon in the body","Aponeurosis",""
"Long cylindrical cells. Made up of tiny, thread-like structrues called myofibrils","Muscle Fibers",""
"Moving towards the median plane","Adduction",""
"Moving away from the median plane","Abduction",""
"Anterior surface rotates towards the median plane","Medial Rotation",""
"Anterior surface rotates away from the median plane","Lateral Rotation",""
"Movement of a bone around its longitudinal axis","Rotation",""
"Movement of the palm of the hand from forward or upward facing position to backward or downward facing position","Pronation",""
"Movement of the palm of the hand from backward or downward facing position to forward or upward facing position","Supination",""
"Lifting of a body part","Elevation",""
"Downward movement or lowering of a body part","Depression",""
"Squeezing closed of an orifice","Constriction",""
"Widening of an orifice","Dilation",""
"Forward movement of a body part","Protraction",""
"Backward movement of a body part","Retraction",""
"Outward turning of the sole of the foot","Eversion",""
"Inward turning of the sole of the foot","Inversion",""
"Provide head movement & stability, allow for masticating & swallowing, facial expression","Muscles of the head and neck",""
"The 4 deep neck muscles","Anterior Scalene, Middle Scalene, Posterior Scalene, Levator Scapulae",""
"Contribute to the floor of the oral cavity and aid in swallowing and speech","Supra- and Infra- Hyoid muscles",""
"Elevates the floor of the mouth, elevates the hyoid, depresses the mandible. Origin: Mylohoid line of Mandible. Insertion: Mylohoid raphe and body of the hyoid","Mylohoid","mylohoid.png"
